lambda,pbSimulation,pdSimulation,pbAnalytical,pdAnalytical
0.1,0.0,0.0390349,7.489783786150637E-18,0.014901517570164106
0.2,2.0E-7,0.0523713,2.7446044820892477E-14,0.03256643110436606
0.3,2.0E-7,0.0677169,3.160884992892965E-12,0.052960746576529966
0.4,7.0E-7,0.0942501,8.786778196058141E-11,0.0759465445955964
0.5,8.2E-6,0.1205127,1.1169095614181159E-9,0.10128502937970396
0.6,9.0E-7,0.1439134,8.63006781805915E-9,0.12864899844851957
0.70000005,6.3E-6,0.1743378,4.718891680170503E-8,0.15764356084695882
0.8000001,1.69E-5,0.2051632,1.9997976311009642E-7,0.18783191427295462
0.9000001,4.24E-5,0.2357065,6.966434548295648E-7,0.21876306150045108
1.0000001,7.77E-5,0.2650045,2.0770594638695666E-6,0.24999806054871754
1.1000001,9.08E-5,0.2943396,5.456157590380272E-6,0.28113112173750554
1.2000002,9.23E-5,0.3219275,1.2902894092073616E-5,0.3118055338830521
1.3000002,1.744E-4,0.3516029,2.7926692048672535E-5,0.34172196021994794
1.4000002,3.056E-4,0.3803665,5.604112438200705E-5,0.3706415895954343
1.5000002,4.853E-4,0.4071627,1.0535291345595973E-4,0.39838357842819133
1.6000003,7.004E-4,0.4329718,1.8710941522094213E-4,0.424819539098896
1.7000003,0.0010652,0.4574075,3.161328057265199E-4,0.4498657541558194
1.8000003,0.0015887,0.4791717,5.110750347351628E-4,0.4734749873595873
1.9000003,0.0022116,0.5011806,7.944429992049728E-4,0.49562810105609867
2.0000002,0.0028967,0.5208881,0.0011923650386191707,0.5163267384502053
2.1000001,0.0037252,0.5395647,0.001734098359368759,0.5355872877540246
2.2,0.0045789,0.5563027,0.002451295858541914,0.5534358653625934
2.3,0.0056651,0.5713975,0.003377080681470656,0.5699046842004832
2.3999999,0.0069467,0.5860402,0.004544988173218267,0.585029678060949
2.4999998,0.0089063,0.5996405,0.005987846262675049,0.59884874778208
2.5999997,0.0112112,0.611135,0.00773666713871618,0.6114010353009136
2.6999996,0.0138984,0.6221866,0.009819618261328182,0.6227264394452194
2.7999995,0.0170731,0.6315258,0.012261130246685892,0.6328656470174482
2.8999994,0.020504,0.639674,0.01508118469417616,0.641860271816972
2.9999993,0.0244426,0.6472213,0.018294808518659667,0.6497529507766342
3.0999992,0.0283621,0.6535985,0.021911784690993186,0.6565876028385388
3.199999,0.0329355,0.65825,0.025936574075659746,0.6624095038900876
3.299999,0.0379016,0.6625527,0.03036843046355424,0.6672652698331231
3.399999,0.0433779,0.6662557,0.035201681619476316,0.6712027627130458
3.4999988,0.0490512,0.6688272,0.04042614341252827,0.6742708754786445
3.5999987,0.0552898,0.6701865,0.046027631688552,0.6765192608888002
3.6999986,0.0615289,0.6712667,0.051988537002531934,0.6779979944627841
3.7999985,0.0679605,0.6719403,0.05828843001255055,0.6787572288526658
3.8999984,0.075068,0.6715225,0.06490466954558821,0.6788467520861146
3.9999983,0.0820835,0.6709109,0.07181299041167094,0.6783156908021495
4.0999985,0.0889748,0.669746,0.0789880707960906,0.6772121646984824
4.1999984,0.0965922,0.6676943,0.0864039629560542,0.6755828927510639
4.2999983,0.1038575,0.6663806,0.09403463781508778,0.6734729973130726
4.399998,0.1115029,0.6637699,0.10185429738832366,0.6709257953620518
4.499998,0.119004,0.6607069,0.10983770990181965,0.6679825840099696
4.599998,0.12679,0.6580427,0.11796046825926973,0.6646825159947811
4.699998,0.1346374,0.6544063,0.12619919256642617,0.6610625711194046
4.799998,0.1430849,0.6504707,0.13453168179987138,0.6571574374112122
4.8999977,0.1513541,0.6462836,0.14293702036303865,0.6529995775288115
4.9999976,0.1599543,0.6415175,0.15139564551651616,0.648619189964655
5.0999975,0.1685193,0.6373408,0.15988938160267327,0.6440442815454043
5.1999974,0.1775843,0.6319996,0.16840144669614204,0.6393007404869717
5.2999973,0.1862041,0.6268183,0.176916436877305,0.6344124041747038
5.399997,0.194506,0.6219188,0.18542029280670716,0.6294011463057604
5.499997,0.2033716,0.6164249,0.1939002527213921,0.6242870087009263
5.599997,0.2120485,0.6112056,0.2023447954144051,0.619088254731129
5.699997,0.2200596,0.6061776,0.21074357622049736,0.6138215199198341
5.799997,0.2286026,0.6008327,0.2190873585303268,0.6085018931198971
5.8999968,0.2368614,0.5951407,0.2273679429014638,0.6031430452684906
5.9999967,0.2447329,0.590289,0.23557809543158925,0.5977573145465024
6.0999966,0.2530968,0.5849708,0.24371147670811216,0.5923558210519944
6.1999965,0.2609531,0.5795197,0.25176257234729604,0.5869485354075522
6.2999964,0.2689325,0.5743802,0.25972662588151896,0.5815443898999713
6.3999963,0.2767315,0.5687304,0.26759957454125466,0.5761514017661378
6.499996,0.2845463,0.5632582,0.27537798830409826,0.5707766592123977
6.599996,0.2921784,0.5579208,0.28305901244192205,0.5654264977361425
6.699996,0.2998622,0.5524708,0.2906403136844761,0.5601065089880419
6.799996,0.3069142,0.547576,0.2981200300291737,0.5548215907454357
6.899996,0.3145429,0.5419211,0.3054967241585513,0.5495761125300582
6.9999957,0.3213507,0.5372505,0.3127693403755258,0.544373824423493
7.0999956,0.3288281,0.5320698,0.3199371649290599,0.5392180009371237
7.1999955,0.3359725,0.5267261,0.3269997895765987,0.5341115220628073
7.2999954,0.3424823,0.5221114,0.33395707821242254,0.5290567724614559
7.3999953,0.3494005,0.516954,0.3408091363810186,0.5240558507042113
7.499995,0.3561371,0.5117187,0.3475562834901198,0.5191104778025635
7.599995,0.3626352,0.5072256,0.35419902753792887,0.514222096947976
7.699995,0.3690363,0.5026145,0.36073804217215294,0.5093918815201459
7.799995,0.3756456,0.4975388,0.36717414590397573,0.5046207558472913
7.899995,0.381468,0.4934065,0.3735082833072885,0.4999094586893518
7.9999948,0.387917,0.4884374,0.3797415080418398,0.4952584856919072
8.099995,0.3937519,0.4842469,0.38587496754800765,0.4906682313370916
8.199995,0.3993324,0.4803986,0.3919099178141902,0.48613884750482256
8.299995,0.4054276,0.4753141,0.3978476244430489,0.4816704318040791
8.399996,0.4113284,0.4708744,0.40368943903521115,0.47726292882949695
8.499996,0.4166498,0.4668329,0.4094367597525496,0.47291616959167543
8.599997,0.4220607,0.4627977,0.41509102241589724,0.46862989531527055
8.699997,0.4271412,0.4592661,0.4206536925562204,0.4644037728339746
8.799997,0.4326203,0.4548177,0.42612625832983153,0.46023737186931646
8.899998,0.4378613,0.4509775,0.43151022421573415,0.4561302234843154
8.999998,0.4426062,0.4471721,0.4368071054202266,0.4520817809728649
9.099998,0.447549,0.4435021,0.442018422920434,0.4480914695175578
9.199999,0.4528527,0.4393719,0.44714569908449037,0.444158653314841
9.299999,0.4575318,0.4358563,0.45219045381170103,0.4402826692356911
9.4,0.4622188,0.4321044,0.45715420114116684,0.43646283021575333
9.5,0.4669615,0.4285188,0.4620384462820866,0.4326984058722613
9.6,0.4718919,0.4248551,0.46684468302330023,0.42898866234651983
9.700001,0.4764078,0.4211212,0.4715743914835985,0.4253328422011218
9.800001,0.4810706,0.4178634,0.4762290361679609,0.4217301663630915
9.900002,0.4854829,0.4141853,0.4808100642981826,0.4181798581444761
